,GW_storage[cm],SM_storage[cm],SFC_storage[cm],SWE_storage[cm],total_storage[cm],total_storage[cm]_noGW,anomaly[cm],SM_anomaly[cm],GW_anomaly[cm],SWE_anomaly[cm],SFC_anomaly[cm],anomaly[cm]_noGW
1985-06-30,2170.2020880322284,61.5186113307885,1.8573191524657824,0.39218694945063803,2233.970205464933,63.76811743270493,3.5445696006542677,6.038006524600737,-2.1330268278850966,-1.4533202776067775,1.092910181545016,5.677596428538977
1985-07-31,2170.22852277833,59.12187665320201,0.7956160520178781,0.00913373313085413,2230.155149216681,59.926626438350745,-0.27048664759801433,3.64127184701424,-2.10659208178317,-1.8363734939265615,0.031207081097111723,1.8361054341847924
1985-08-31,2170.233160688538,57.52207581388463,0.35002552004006643,3.1083780839954904e-05,2228.105293106244,57.87213241770554,-2.3203427580347253,2.0414710076968623,-2.1019541715746977,-1.8454761432765754,-0.41438345088069994,-0.21838858646041068
1985-09-30,2170.227447412951,56.656778656899455,0.24899771928870193,0.018251778425240374,2227.151475567564,56.9240281546134,-3.2741602967146446,1.1761738507116855,-2.1076674471624743,-1.8272554486321753,-0.5154112516320644,-1.166492849552552
1985-10-31,2170.2375524841004,58.69311611787169,0.5373782866614425,0.13340042859291176,2229.6014473172268,59.36389483312604,-0.8241885470522728,3.2125113116839152,-2.0975623760127404,-1.7121067984645038,-0.2270306842593238,1.27337382896009
1985-11-30,2170.2732660534157,59.23349910830738,0.5934529740494044,1.4168228500464335,2231.5170409858188,61.24377493240321,1.0914051215400087,3.7528943021196053,-2.0618488066976393,-0.4286843770109819,-0.17095599687136193,3.153253928237264
1985-12-31,2170.3063607923605,59.98510528711445,0.6369370852501272,4.385937071920152,2235.3143402366454,65.00797944428473,4.88870437236654,4.504500480926681,-2.028754067752629,2.5404298448627367,-0.12747188567063922,6.9174584401187795
1986-01-31,2170.3292631801046,59.72503084084453,0.6253998934590889,4.857415745185677,2235.5371096595936,65.20784647948929,5.111473795314799,4.244426034656761,-2.005851680008931,3.0119085181282617,-0.1390090774616774,7.117325475323346
1986-02-28,2170.332536924073,60.15290317047628,0.7877289233222826,5.808152244325109,2237.0813212621965,66.74878433812367,6.655685397917807,4.67229836428851,-2.002577936040304,3.9626450172676937,0.023319952401516335,8.658263333957724
1986-03-31,2170.3328025754195,61.69238124136674,1.5069750033460954,5.840710231453293,2239.372869051586,69.04006647616613,8.947233187306848,6.211776435178968,-2.0023122846937067,3.9952030043958784,0.7425660324253291,10.949545472000176
1986-04-30,2170.363047944658,63.04791173040452,2.2479035169399846,4.835480780192194,2240.4943439721947,70.1312960275367,10.068708107915581,7.567306924216756,-1.9720669154555492,2.9899735531347784,1.4834945460192182,12.040775023370754
1986-05-31,2170.427347019223,63.182687399812444,2.2643031468890316,3.448861553409628,2239.3231991193343,68.8958521001111,8.897563255055264,7.70208259362468,-1.9077678408902883,1.6033543263522125,1.4998941759682656,10.805331095945158
1986-06-30,2170.5015302669212,61.49625584385764,2.482786291312553,0.9101403024833922,2235.390712704575,64.88918243765359,4.965076840296092,6.015651037669867,-1.833584593191926,-0.9353669245740234,1.718377320391787,6.798661433487633
1986-07-31,2170.532208944139,59.58065198076329,1.4423952976899594,0.04310770442657519,2231.598363927019,61.06615498287983,1.1727280627400438,4.100047174575529,-1.8029059159742378,-1.8023995226308402,0.677986326769193,2.9756339787138835
1986-08-31,2170.5333516605087,57.74161649351349,0.5875566000705472,0.002578528264805723,2228.8651032823577,58.331751621848845,-1.5605325819209586,2.261011687325726,-1.8017631996042407,-1.8429286987926097,-0.17685237085021907,0.24123061768289908
